Demographics_id,Sex,Education,Age,Income
1,0,4,9,3
2,0,6,7,1
3,0,4,9,8
4,0,3,11,6
5,0,5,11,4
6,1,6,10,8
7,0,6,9,7
8,0,4,11,4
9,0,5,9,1
10,1,4,8,3
11,1,6,13,8
12,0,5,10,1
13,0,5,7,7
14,0,4,11,6
15,0,6,4,2
16,0,6,6,8
17,0,4,10,3
18,1,5,7,6
19,0,6,2,7
20,1,6,4,8
21,0,4,12,4
22,0,2,13,3
23,1,5,5,5
24,0,5,13,4
25,0,4,9,6
26,0,6,5,8
27,1,6,10,5
28,1,2,12,4
29,0,4,8,7
30,1,6,12,8
31,0,5,9,4
32,1,3,13,3
33,0,4,6,8
34,1,6,11,2
35,0,3,12,3
36,0,4,9,4
37,1,4,8,3
38,0,5,12,7
39,1,5,4,3
40,1,3,9,1
41,0,6,4,7
42,0,4,13,4
43,0,4,7,3
44,0,6,9,8
45,0,5,8,8
46,0,6,8,3
47,0,5,7,2
48,1,4,10,7
49,1,5,10,6
50,0,4,11,2
51,0,4,9,1
52,0,3,7,3
53,0,4,10,5
54,0,5,10,6
55,0,6,4,8
56,1,6,11,8
57,0,6,6,8
58,0,6,10,8
59,1,6,11,6
60,0,4,7,5
61,0,4,11,4
62,0,4,11,2
63,0,6,9,5
64,0,5,7,8
65,0,4,10,3
66,1,5,11,6
67,1,5,8,7
68,0,4,13,4
69,0,3,10,2
70,0,5,7,3
71,1,5,12,5
72,1,6,7,8
73,0,4,7,3
74,0,5,7,7
75,1,5,1,4
76,1,5,6,6
77,1,5,8,8
78,0,6,12,2
79,1,6,11,3
80,1,4,8,8
81,1,6,7,8
82,1,4,7,7
83,1,4,13,4
84,0,2,13,2
85,0,4,10,7
86,0,6,9,8
87,0,5,1,8
88,1,4,8,8
89,1,6,5,8
90,1,5,13,6
91,0,5,10,8
92,0,6,3,8
93,1,5,11,7
94,0,5,11,2
95,0,6,5,7
96,0,2,9,3
97,0,5,3,3
98,0,4,9,6
99,0,4,11,3
100,0,4,7,8
101,0,6,9,8
102,1,6,12,5
103,1,6,9,6
104,1,6,9,7
105,0,6,6,2
106,0,6,10,6
107,0,5,8,2
108,1,4,7,5
109,0,6,10,7
110,0,5,7,3
111,0,5,4,6
112,0,6,13,4
113,1,4,9,6
114,1,6,8,8
115,0,6,8,6
116,1,5,3,6
117,0,6,11,7
118,1,4,6,7
119,0,5,7,7
120,1,6,7,6
121,0,6,7,8
122,0,6,7,7
123,0,4,10,4
124,1,4,10,8
125,1,5,5,7
126,0,3,6,7
127,1,5,12,5
128,1,4,7,4
129,0,4,7,8
130,1,4,13,3
131,1,4,4,8
132,0,5,8,6
133,0,4,11,2
134,0,3,8,4
135,0,6,12,8
136,0,4,11,5
137,0,6,10,8
138,1,4,12,6
139,1,6,5,8
140,0,5,9,7
141,1,3,1,3
142,0,4,9,2
143,0,4,11,8
144,0,6,8,5
145,1,5,8,8
146,0,3,12,1
147,1,3,9,3
148,0,5,7,6
149,0,4,11,4
150,1,4,12,6
151,0,4,8,7
152,1,4,12,6
153,0,5,12,4
154,0,5,8,6
155,0,5,10,6
156,1,6,5,8
157,0,6,11,5
158,0,4,13,8
159,0,6,9,5
160,0,6,8,4
161,1,3,10,5
162,0,4,9,8
163,1,6,8,8
164,0,4,8,8
165,1,4,11,4
166,0,5,10,6
167,0,5,8,4
168,0,6,10,7
169,0,6,8,7
170,1,5,12,6
171,1,5,10,6
172,0,5,12,3
173,0,6,7,8
174,0,5,7,5
175,0,5,10,2
176,1,5,4,5
177,1,5,10,8
178,0,6,13,7
179,1,5,8,6
180,1,5,7,7
181,0,6,7,8
182,0,4,13,3
183,1,6,5,8
184,1,4,11,5
185,1,4,9,6
186,0,6,8,8
187,1,6,7,8
188,1,4,8,6
189,0,5,10,2
190,0,6,9,8
191,1,2,9,5
192,1,6,9,7
193,1,5,10,5
194,0,4,7,8
195,0,6,11,5
196,0,6,9,7
197,0,4,12,7
198,0,4,12,4
199,0,5,8,8
200,0,6,6,8
201,0,6,6,8
202,0,5,11,2
203,0,6,7,8
204,0,6,9,6
205,0,6,7,8
206,0,5,12,4
207,1,6,13,6
208,1,6,6,8
209,0,4,13,3
210,1,5,7,8
211,0,5,9,6
212,0,6,6,7
213,1,5,10,6
214,0,4,4,1
215,0,3,8,4
216,0,6,6,7
217,1,4,8,7
218,0,4,12,1
219,1,4,9,1
220,0,5,10,4
221,0,4,2,5
222,0,4,8,7
223,0,6,12,6
224,1,5,8,8
225,0,6,6,7
226,0,5,5,8
227,1,5,12,4
228,1,6,10,8
229,1,6,10,8
230,0,6,12,4
231,0,5,7,2
232,0,5,6,8
233,0,6,11,7
234,0,5,8,6
235,1,6,9,8
236,1,5,8,6
237,0,6,12,6
238,1,6,12,7
239,1,4,8,8
240,1,6,11,8
241,1,6,11,6
242,1,5,10,8
243,1,4,13,6
244,1,5,6,7
245,1,4,12,8
246,0,5,7,6
247,1,5,6,8
248,1,5,7,7
249,0,4,13,2
250,0,6,10,7
251,0,5,13,6
252,0,3,13,2
253,1,6,9,7
254,0,3,12,3
255,0,6,9,7
256,1,4,9,8
257,1,4,10,5
258,0,5,7,1
259,0,4,8,4
260,0,4,10,7
261,0,4,13,5
262,1,6,10,7
263,1,6,8,8
264,1,6,8,4
265,1,5,12,8
266,0,5,11,4
267,1,3,11,8
268,1,6,10,8
269,1,5,10,8
270,0,5,11,5
271,1,5,5,8
272,0,4,5,8
273,0,4,11,5
274,1,5,9,5
275,0,6,10,5
276,1,5,8,7
277,1,4,10,4
278,0,6,10,6
279,1,6,4,6
280,0,4,10,6
281,0,6,4,3
282,1,5,9,7
283,0,4,10,6
284,0,5,10,3
285,1,4,7,3
286,1,5,9,8
287,1,5,7,8
288,1,5,11,7
289,0,4,8,7
290,0,6,11,7
291,0,6,10,7
292,0,4,11,4
293,0,5,13,5
294,1,4,11,5
295,0,2,7,2
296,0,3,12,1
297,1,6,8,5
298,0,6,9,6
299,0,5,6,7
300,0,6,7,8
301,0,6,8,8
302,0,5,9,4
303,0,4,13,4
304,1,5,13,6
305,0,4,10,4
306,1,4,9,6
307,0,4,9,8
308,0,4,7,8
309,0,4,11,4
310,0,6,8,8
311,0,3,6,1
312,0,4,8,1
313,1,4,9,2
314,1,4,5,7
315,0,3,13,1
316,0,4,9,4
317,0,4,13,5
318,1,5,13,4
319,0,6,5,5
320,0,5,3,8
321,0,6,13,7
322,0,3,8,3
323,0,4,7,1
324,0,3,9,2
325,1,4,8,2
326,0,4,7,8
327,0,4,13,1
328,0,5,7,8
329,1,5,4,6
330,0,4,11,6
331,1,5,8,8
332,1,2,12,2
333,0,4,10,3
334,0,4,12,4
335,1,6,7,7
336,0,2,11,2
337,1,5,11,6
338,1,3,11,3
339,1,6,10,7
340,0,5,11,1
341,0,4,10,1
342,0,4,9,6
343,0,6,6,5
344,0,6,9,7
345,1,3,6,3
346,0,4,5,7
347,0,5,8,7
348,0,6,7,8
349,1,5,9,6
350,0,6,8,3
351,0,4,13,2
352,1,4,9,6
353,1,6,9,2
354,1,3,10,2
355,0,3,9,5
356,1,5,6,3
357,0,4,2,3
358,1,4,8,6
359,0,5,12,2
360,0,6,4,7
361,0,4,6,3
362,1,4,11,2
363,1,5,9,8
364,0,3,11,1
365,1,4,9,6
366,1,6,7,7
367,0,5,9,3
368,1,5,13,6
369,0,5,13,2
370,0,5,4,2
371,1,6,6,7
372,0,4,6,2
373,0,6,5,8
374,1,4,5,7
375,1,4,10,1
376,0,4,8,4
377,0,6,6,8
378,0,6,9,8
379,0,6,13,1
380,1,5,7,2
381,0,5,9,4
382,1,4,12,3
383,0,4,12,2
384,1,4,8,8
385,0,2,10,3
386,0,6,8,6
387,1,4,1,3
388,1,4,10,6
389,1,4,10,4
390,0,4,12,1
391,1,5,7,6
392,0,6,10,8
393,0,6,8,3
394,1,4,9,6
395,0,5,4,4
396,0,5,8,1
397,0,6,13,5
398,1,6,13,7
399,0,6,10,7
400,0,6,8,5
401,0,4,9,2
402,0,4,10,3
403,0,5,9,5
404,0,4,9,2
405,0,6,3,4
406,0,4,8,1
407,0,6,9,6
408,0,4,12,8
409,1,6,10,4
410,0,4,5,5
411,0,4,8,7
412,0,4,11,1
413,1,2,5,3
414,1,6,10,8
415,0,6,12,8
416,1,4,11,3
417,0,3,10,1
418,0,3,10,1
419,1,4,10,7
420,0,5,3,4
421,1,4,9,5
422,1,4,8,1
423,1,3,13,5
424,0,6,11,6
425,0,2,9,7
426,1,5,4,6
427,0,4,10,1
428,0,4,10,3
429,0,4,10,2
430,1,4,3,6
431,0,4,12,6
432,0,6,10,8
433,0,6,10,8
434,1,6,9,8
435,0,6,10,7
436,0,5,8,3
437,0,5,8,8
438,1,5,5,1
439,0,4,1,2
440,0,6,5,8
441,0,3,13,3
442,0,5,10,5
443,1,4,6,1
444,0,6,7,8
445,0,4,9,5
446,1,6,10,7
447,0,3,12,3
448,0,6,13,5
449,1,6,9,8
450,1,4,10,6
451,0,5,11,3
452,0,4,10,3
453,0,5,9,3
454,0,6,8,6
455,0,6,10,8
456,0,4,8,3
457,1,5,10,8
458,0,4,11,5
459,1,5,11,4
460,0,5,11,4
461,0,3,9,5
462,0,5,11,6
463,0,6,12,6
464,0,3,10,2
465,0,5,8,2
466,0,5,9,6
467,1,5,4,5
468,1,6,10,8
469,1,5,5,5
470,1,4,8,7
471,0,4,7,1
472,0,5,10,4
473,0,4,11,3
474,0,6,5,6
475,0,6,7,4
476,0,6,2,8
477,0,6,9,8
478,0,5,12,5
479,0,3,8,3
480,1,6,10,7
481,0,4,4,7
482,0,4,9,5
483,1,4,2,3
484,1,5,10,7
485,0,4,9,4
486,0,5,11,3
487,0,5,12,4
488,1,6,13,8
489,1,4,7,8
490,0,5,9,4
491,0,2,9,1
492,0,6,9,7
493,0,5,9,6
494,0,6,10,6
495,0,6,11,7
496,1,5,12,7
497,0,4,10,4
498,1,4,8,7
499,0,6,10,7
500,1,6,10,7
501,0,6,6,8
502,1,6,12,2
503,0,4,9,7
504,0,5,8,5
505,0,4,12,3
506,0,4,9,2
507,0,4,13,2
508,0,4,8,4
509,1,6,12,6
510,1,6,10,8
511,0,4,11,7
512,0,6,13,3
513,0,6,10,8
514,0,4,12,6
515,0,5,12,3
516,0,4,9,6
517,1,4,11,8
518,0,6,6,7
519,1,3,10,4
520,1,6,13,8
521,0,4,10,5
522,0,6,12,5
523,1,4,9,6
524,0,4,13,6
525,1,6,7,8
526,0,5,11,5
527,1,6,11,8
528,1,4,10,6
529,1,4,4,8
530,0,5,9,8
531,0,4,11,5
532,0,6,13,4
533,0,6,10,8
534,0,4,9,8
535,1,5,8,5
536,0,5,8,4
537,0,4,9,4
538,0,4,9,1
539,1,4,13,7
540,1,5,13,6
541,1,5,9,7
542,0,6,11,8
543,0,4,7,4
544,1,5,8,7
545,1,6,11,8
546,1,6,7,8
547,0,5,8,8
548,0,5,11,5
549,0,5,2,2
550,0,6,7,7
551,0,6,8,8
552,0,5,10,6
553,1,6,11,8
554,0,4,11,2
555,0,4,13,8
556,1,4,9,1
557,0,1,9,1
558,0,5,12,6
559,0,5,12,6
560,0,4,7,1
561,0,3,10,1
562,0,4,10,3
563,0,4,9,7
564,1,2,10,2
565,0,6,11,7
566,0,4,13,3
567,0,6,9,7
568,1,4,13,5
569,0,5,7,8
570,0,5,9,4
571,0,4,10,2
572,0,6,8,8
573,0,6,10,6
574,0,4,3,5
575,0,4,11,4
576,0,6,9,6
577,1,4,6,7
578,1,5,9,8
579,0,4,5,8
580,0,6,13,5
581,0,5,13,2
582,0,5,8,6
583,1,3,13,3
584,0,5,11,6
585,0,3,2,2
586,0,6,9,8
587,1,6,10,8
588,0,6,6,8
589,0,5,10,6
590,1,6,9,8
591,0,5,11,4
592,0,4,12,4
593,0,5,7,6
594,1,4,11,3
595,0,3,13,2
596,0,5,9,6
597,0,6,9,8
598,0,3,11,2
599,0,4,7,2
600,0,5,11,6
601,1,6,13,8
602,0,3,13,2
603,0,6,11,5
604,0,6,7,2
605,0,6,13,5
606,0,4,13,3
607,0,5,12,6
608,0,4,12,4
609,0,6,8,8
610,0,6,4,8
611,0,4,9,8
612,0,6,7,8
613,0,5,13,6
614,0,5,2,1
615,0,6,3,6
616,1,4,13,6
617,0,6,11,8
618,0,6,8,8
619,1,2,11,3
620,1,5,10,6
621,0,5,11,5
622,0,4,8,3
623,0,3,3,4
624,0,4,9,4
625,1,4,7,7
626,0,3,11,3
627,0,5,8,8
628,1,1,9,6
629,1,6,5,8
630,1,3,10,6
631,1,6,3,8
632,0,5,12,5
633,0,4,10,1
634,1,6,10,8
635,0,4,7,7
636,1,3,9,5
637,0,4,11,6
638,1,4,11,3
639,0,6,11,8
640,0,4,12,4
641,1,5,1,8
642,0,5,11,3
643,0,3,13,7
644,1,6,9,8
645,0,4,9,6
646,0,5,9,3
647,0,6,6,4
648,0,4,11,4
649,0,4,8,6
650,1,6,13,7
651,1,5,10,6
652,1,6,10,7
653,1,5,9,3
654,0,6,10,8
655,0,6,7,1
656,0,6,10,7
657,1,5,9,6
658,0,4,13,2
659,0,5,3,6
660,0,3,13,3
661,0,2,12,1
662,1,6,10,8
663,0,6,11,8
664,0,4,10,7
665,1,6,11,7
666,0,5,11,6
667,1,4,10,1
668,0,5,12,5
669,0,3,13,3
670,1,6,8,7
671,0,6,5,1
672,0,6,10,3
673,0,4,13,4
674,0,6,8,6
675,1,5,5,8
676,0,4,6,4
677,0,5,10,3
678,0,5,8,1
679,1,6,12,5
680,0,6,10,4
681,0,6,9,7
682,0,4,12,6
683,0,3,12,2
684,0,5,8,5
685,1,5,9,3
686,1,6,10,6
687,1,6,9,3
688,0,4,11,7
689,0,6,7,7
690,1,6,8,8
691,0,5,8,5
692,0,6,7,8
693,0,5,11,6
694,0,6,7,3
695,1,6,8,8
696,0,4,10,5
697,0,6,6,8
698,1,5,7,7
699,0,2,9,2
700,1,6,4,1
701,0,6,8,7
702,1,5,11,6
703,0,6,8,8
704,0,6,4,7
705,1,4,11,6
706,0,4,9,8
707,1,2,11,3
708,1,4,10,6
709,0,4,10,5
710,1,4,8,3
711,0,4,13,7
712,0,4,11,4
713,1,4,12,4
714,0,6,13,8
715,0,4,11,5
716,0,4,12,4
717,0,4,12,6
718,0,5,7,7
719,0,3,11,3
720,0,4,8,7
721,1,4,12,6
722,0,6,11,6
723,0,6,7,8
724,0,3,9,2
725,0,5,3,8
726,0,6,11,6
727,1,4,8,6
728,1,2,11,3
729,0,5,13,4
730,1,5,10,6
731,0,5,8,6
732,0,4,7,7
733,1,4,11,6
734,0,6,1,6
735,0,2,10,3
736,1,6,7,7
737,0,4,10,7
738,0,4,8,3
739,1,4,12,6
740,0,4,7,3
741,0,4,13,3
742,0,6,9,6
743,0,5,10,7
744,0,5,8,3
745,1,5,2,4
746,0,5,12,2
747,1,6,11,8
748,1,6,11,8
749,1,3,11,4
750,1,6,11,8
751,0,6,11,5
752,1,6,11,1
753,1,6,10,8
754,1,6,12,8
755,1,6,2,1
756,0,6,9,8
757,0,5,7,1
758,1,4,8,7
759,1,5,10,6
760,0,5,4,6
761,1,3,7,2
762,0,6,6,8
763,0,4,11,5
764,0,6,4,8
765,1,6,10,6
766,0,4,12,2
767,0,5,10,8
768,0,4,10,4
769,1,6,13,8
770,0,4,7,7
771,0,6,8,8
772,0,4,12,6
773,0,3,13,3
774,1,6,7,8
775,1,5,13,6
776,0,5,7,7
777,1,6,10,6
778,1,5,10,5
779,0,4,10,7
780,0,6,12,6
781,1,6,3,3
782,0,4,12,2
783,0,4,9,2
784,0,6,8,8
785,1,4,13,5
786,1,5,12,7
787,1,4,7,7
788,0,4,12,7
789,1,3,8,5
790,0,6,11,7
791,0,4,8,8
792,0,5,12,5
793,0,6,9,7
794,0,6,7,5
795,0,5,7,8
796,0,5,10,7
797,0,5,10,3
798,0,3,13,3
799,0,5,7,6
800,0,4,9,6
801,0,4,1,5
802,1,5,9,5
803,0,5,8,8
804,0,4,8,1
805,1,4,4,6
806,1,4,3,4
807,0,6,5,8
808,0,5,7,7
809,1,6,8,8
810,1,6,13,7
811,0,6,12,8
812,1,4,13,3
813,0,3,7,1
814,0,3,13,3
815,1,3,9,7
816,0,4,8,5
817,0,4,8,3
818,0,4,9,2
819,0,5,5,6
820,0,4,10,3
821,0,6,6,7
822,0,4,11,3
823,1,4,9,5
824,0,5,8,7
825,0,4,13,3
826,1,6,8,8
827,1,5,8,4
828,0,4,11,5
829,0,5,13,8
830,1,6,6,8
831,1,4,11,7
832,0,6,9,6
833,1,4,11,6
834,0,6,7,8
835,0,3,9,3
836,0,5,2,5
837,1,5,10,6
838,0,3,9,3
839,0,5,7,7
840,0,5,11,8
841,0,5,8,5
842,0,6,7,8
843,1,5,8,5
844,0,4,3,5
845,1,4,12,6
846,1,4,7,5
847,0,6,10,6
848,0,6,11,7
849,0,5,11,4
850,1,5,8,8
851,0,5,10,5
852,1,6,11,7
853,0,6,12,5
854,0,5,9,8
855,0,6,10,8
856,0,6,7,7
857,0,3,10,3
858,0,6,11,5
859,0,4,13,4
860,0,4,11,5
861,0,6,11,8
862,0,6,4,7
863,0,4,13,2
864,1,4,4,8
865,1,6,8,8
866,1,6,6,8
867,1,6,11,4
868,0,3,10,1
869,0,4,8,3
870,0,3,10,1
871,1,4,7,6
872,1,4,1,2
873,0,6,4,8
874,0,6,8,8
875,0,5,11,5
876,1,4,11,6
877,0,5,9,1
878,0,3,11,4
879,0,6,7,8
880,0,5,11,7
881,1,6,9,7
882,0,6,12,8
883,1,4,10,5
884,0,4,7,1
885,0,4,13,5
886,1,4,9,8
887,1,4,8,4
888,1,6,5,7
889,0,6,9,6
890,1,6,10,8
891,0,5,10,5
892,0,4,5,6
893,1,5,11,7
894,1,2,8,8
895,1,6,6,5
896,0,4,11,2
897,0,5,13,5
898,1,6,13,6
899,0,6,7,7
900,0,4,11,3
901,0,5,13,5
902,0,5,8,5
903,1,6,12,6
904,1,6,3,8
905,0,5,2,3
906,1,4,12,5
907,0,3,11,1
908,0,4,10,2
909,0,4,7,1
910,0,5,10,7
911,0,6,11,6
912,0,5,8,8
913,1,6,10,8
914,0,3,13,2
915,1,5,13,7
916,1,6,10,8
917,0,6,9,2
918,1,6,8,8
919,0,5,10,8
920,0,5,12,3
921,0,5,13,4
922,0,5,10,7
923,1,6,9,8
924,0,6,9,4
925,0,6,11,8
926,0,3,11,6
927,1,5,5,7
928,0,5,10,2
929,1,6,12,6
930,0,4,9,6
931,0,3,9,2
932,1,5,7,1
933,1,6,13,3
934,0,5,10,4
935,1,4,8,7
936,0,4,13,4
937,0,3,10,3
938,0,3,9,2
939,0,5,11,2
940,0,5,8,8
941,0,4,8,5
942,1,4,10,4
943,0,5,10,5
944,1,4,10,7
945,0,2,7,5
946,0,4,13,5
947,1,4,11,6
948,0,5,8,4
949,0,4,4,4
950,1,5,13,6
951,0,5,10,6
952,0,6,9,8
953,0,5,7,5
954,0,6,9,8
955,0,5,4,4
956,1,5,9,8
957,1,4,8,7
958,0,4,12,6
959,1,6,12,8
960,0,4,7,5
961,0,6,10,8
962,0,6,8,8
963,0,4,10,3
964,0,5,7,7
965,0,4,9,4
966,1,4,12,4
967,0,4,9,7
968,1,4,13,4
969,0,4,10,5
970,0,4,9,1
971,1,5,8,2
972,0,3,12,2
973,0,4,7,3
974,0,5,3,7
975,0,5,7,4
976,0,6,11,5
977,1,4,10,2
978,1,6,12,7
979,1,6,11,7
980,0,5,7,5
981,0,4,11,1
982,1,5,2,8
983,0,4,9,1
984,0,6,11,8
985,0,5,9,4
986,1,2,9,3
987,0,4,12,1
988,0,3,11,2
989,0,4,5,7
990,0,6,10,3
991,0,4,10,4
992,0,4,13,5
993,0,4,12,2
994,1,5,8,7
995,0,3,10,1
996,0,6,2,8
997,0,5,10,8